item_id,source_id,source_question_no,source_page,answer_key,engine_unit_id,engine_subunit_id,matched_problem_type_id,type_name,difficulty,mapping_status,mapping_confidence
js_exp_log_150_001,js_exp_log_150,001,1,21,ALG_EXPLOG_FOUNDATION,ALG_EXPLOG_FOUNDATION_EXPONENT,H2_EL_PT005,x의 n제곱근 중 실수의 개수로 정의된 함수의 연산,core,registered_type_match,0.82
js_exp_log_150_002,js_exp_log_150,002,1,3,ALG_EXPLOG_FOUNDATION,ALG_EXPLOG_FOUNDATION_EXPONENT,H2_EL_PT005,x의 n제곱근 중 실수의 개수로 정의된 함수의 연산,advanced,registered_type_match,0.82
js_exp_log_150_003,js_exp_log_150,003,1,30,ALG_EXPLOG_FOUNDATION,ALG_EXPLOG_FOUNDATION_EXPONENT,H2_EL_PT016,거듭제곱근 계산의 도형 활용,advanced,registered_type_match,0.82
js_exp_log_150_004,js_exp_log_150,004,1,1,ALG_EXPLOG_FOUNDATION,ALG_EXPLOG_FOUNDATION_EXPONENT,H2_EL_PT004,n제곱근 중 실수인 것 구하기,high,registered_type_match,0.82
js_exp_log_150_005,js_exp_log_150,005,2,3,ALG_EXPLOG_FOUNDATION,ALG_EXPLOG_FOUNDATION_EXPONENT,H2_EL_PT008,n제곱근에 대한 설명으로 옳은 것 찾기,core,registered_type_match,0.82
js_exp_log_150_006,js_exp_log_150,006,2,4,ALG_EXPLOG_FOUNDATION,ALG_EXPLOG_FOUNDATION_EXPONENT,H2_EL_PT005,x의 n제곱근 중 실수의 개수로 정의된 함수의 연산,advanced,registered_type_match,0.82
js_exp_log_150_007,js_exp_log_150,007,3,4,ALG_EXPLOG_FOUNDATION,ALG_EXPLOG_FOUNDATION_EXPONENT,H2_EL_PT023,거듭제곱근으로 표현된 수의 대소 관계,advanced,registered_type_match,0.82
js_exp_log_150_008,js_exp_log_150,008,3,4,ALG_EXPLOG_FOUNDATION,ALG_EXPLOG_FOUNDATION_EXPONENT,H2_EL_PT023,거듭제곱근으로 표현된 수의 대소 관계,high,registered_type_match,0.82
js_exp_log_150_009,js_exp_log_150,009,3,4,ALG_EXPLOG_FOUNDATION,ALG_EXPLOG_FOUNDATION_EXPONENT,H2_EL_PT079,분수식으로 표현된 식의 값 구하기,core,registered_type_match,0.82
js_exp_log_150_010,js_exp_log_150,010,3,40,ALG_EXPLOG_FOUNDATION,ALG_EXPLOG_FOUNDATION_EXPONENT,H2_EL_PT053,지수법칙의 도형 활용,advanced,registered_type_match,0.82
js_exp_log_150_011,js_exp_log_150,011,4,17,ALG_EXPLOG_FOUNDATION,ALG_EXPLOG_FOUNDATION_EXPONENT,H2_EL_PT076,a^x+a^{-x}의 값이 주어진 경우,advanced,registered_type_match,0.82
js_exp_log_150_012,js_exp_log_150,012,4,3,ALG_EXPLOG_FOUNDATION,ALG_EXPLOG_FOUNDATION_EXPONENT,H2_EL_PT073,조건식이 주어질 때 식의 값 구하기,high,registered_type_match,0.82
js_exp_log_150_013,js_exp_log_150,013,4,768,ALG_EXPLOG_FOUNDATION,ALG_EXPLOG_FOUNDATION_EXPONENT,H2_EL_PT054,거듭제곱근을 이용한 지수 계산과 조건 파악,core,registered_type_match,0.82
